date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,2186,1223,245,3654
01:00AM,2442,1021,249,3712
02:00AM,2411,1124,390,3925
03:00AM,1602,728,126,2456
04:00AM,1296,624,124,2044
05:00AM,1279,947,252,2478
06:00AM,1508,1371,543,3422
07:00AM,1337,1712,592,3641
08:00AM,997,1402,504,2903
09:00AM,965,1505,470,2940
10:00AM,1069,1793,600,3462
11:00AM,1083,1823,484,3390
12:00PM,1250,2178,825,4253
01:00PM,1364,2321,835,4520
02:00PM,1555,2729,1037,5321
03:00PM,1938,3160,1136,6234
04:00PM,1839,2940,1134,5913
05:00PM,2184,3139,1076,6399
06:00PM,2404,2699,911,6014
07:00PM,2351,2225,803,5379
08:00PM,2513,2202,583,5298
09:00PM,2417,1966,559,4942
10:00PM,2310,1709,494,4513
11:00PM,2231,1409,375,4015
