"Crash Time (Hour)","Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
"0:00am-0:59am",1828,768,225,2821
"1:00am-1:59am",1715,776,186,2677
"2:00am-2:59am",1950,772,203,2925
"3:00am-3:59am",1417,548,106,2071
"4:00am-4:59am",1058,452,205,1715
"5:00am-5:59am",965,692,207,1864
"6:00am-6:59am",1117,1060,304,2481
"7:00am-7:59am",995,1173,480,2648
"8:00am-8:59am",827,942,295,2064
"9:00am-9:59am",749,1155,330,2234
"10:00am-10:59am",887,1299,410,2596
"11:00am-11:59am",950,1338,469,2757
"12:00pm-12:59pm",1116,1590,524,3230
"1:00pm-1:59pm",1122,1707,607,3436
"2:00pm-2:59pm",1268,2007,714,3989
"3:00pm-3:59pm",1333,2290,835,4458
"4:00pm-4:59pm",1407,2193,655,4255
"5:00pm-5:59pm",1704,2065,788,4557
"6:00pm-6:59pm",1993,1979,777,4749
"7:00pm-7:59pm",2027,1582,445,4054
"8:00pm-8:59pm",2148,1543,388,4079
"9:00pm-9:59pm",2104,1489,395,3988
"10:00pm-10:59pm",1869,1120,328,3317
"11:00pm-11:59pm",1764,989,365,3118
"Total",34607,31569,10260,76436
