date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,1790,842,203,2835
01:00AM,1796,758,168,2722
02:00AM,2063,867,244,3174
03:00AM,1478,543,79,2100
04:00AM,1028,475,106,1609
05:00AM,962,711,210,1883
06:00AM,1053,922,308,2283
07:00AM,895,984,321,2200
08:00AM,810,1043,323,2176
09:00AM,729,1032,429,2190
10:00AM,826,1279,340,2445
11:00AM,927,1570,427,2924
12:00PM,986,1682,481,3149
01:00PM,1041,1816,554,3411
02:00PM,1287,1983,810,4080
03:00PM,1426,2231,606,4263
04:00PM,1433,2158,780,4371
05:00PM,1715,2208,810,4733
06:00PM,1949,2050,662,4661
07:00PM,2113,1686,573,4372
08:00PM,2065,1511,430,4006
09:00PM,2112,1492,360,3964
10:00PM,1942,1242,288,3472
11:00PM,1746,1075,252,3073
