"Crash Time (Hour)","Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
"0:00am-0:59am",2125,1118,239,3482
"1:00am-1:59am",2331,959,233,3523
"2:00am-2:59am",2682,1094,268,4044
"3:00am-3:59am",1737,716,116,2569
"4:00am-4:59am",1239,543,121,1903
"5:00am-5:59am",1270,851,315,2436
"6:00am-6:59am",1311,1184,349,2844
"7:00am-7:59am",1051,1594,597,3242
"8:00am-8:59am",960,1273,318,2551
"9:00am-9:59am",816,1332,430,2578
"10:00am-10:59am",894,1560,552,3006
"11:00am-11:59am",1086,1782,653,3521
"12:00pm-12:59pm",1267,2034,822,4123
"1:00pm-1:59pm",1226,2127,622,3975
"2:00pm-2:59pm",1591,2402,857,4850
"3:00pm-3:59pm",1717,2865,1025,5607
"4:00pm-4:59pm",1739,2779,964,5482
"5:00pm-5:59pm",1939,2542,944,5425
"6:00pm-6:59pm",2188,2300,1007,5495
"7:00pm-7:59pm",2051,2029,558,4638
"8:00pm-8:59pm",2490,2085,630,5205
"9:00pm-9:59pm",2339,1867,733,4939
"10:00pm-10:59pm",2232,1627,514,4373
"11:00pm-11:59pm",2236,1398,393,4027
"Total",40922,40134,13282,94338
