"Crash Time (Hour)","Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
"0:00am-0:59am",2108,1113,299,3520
"1:00am-1:59am",2299,1075,272,3646
"2:00am-2:59am",2354,1055,237,3646
"3:00am-3:59am",1504,724,126,2354
"4:00am-4:59am",1250,688,148,2086
"5:00am-5:59am",1229,1006,236,2471
"6:00am-6:59am",1264,1293,459,3016
"7:00am-7:59am",1195,1852,583,3630
"8:00am-8:59am",989,1442,456,2887
"9:00am-9:59am",955,1688,461,3104
"10:00am-10:59am",1040,1756,605,3401
"11:00am-11:59am",1127,2112,767,4006
"12:00pm-12:59pm",1265,2209,1016,4490
"1:00pm-1:59pm",1365,2584,772,4721
"2:00pm-2:59pm",1564,3004,959,5527
"3:00pm-3:59pm",1723,3104,1024,5851
"4:00pm-4:59pm",1765,3154,1006,5925
"5:00pm-5:59pm",2077,2967,1157,6201
"6:00pm-6:59pm",2401,2727,890,6018
"7:00pm-7:59pm",2454,2128,645,5227
"8:00pm-8:59pm",2317,2244,568,5129
"9:00pm-9:59pm",2532,2035,435,5002
"10:00pm-10:59pm",2296,1682,508,4486
"11:00pm-11:59pm",2135,1469,318,3922
"Total",41673,45131,13956,100760
