"Crash Time (Hour)","Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
"0:00am-0:59am",1842,936,244,3022
"1:00am-1:59am",1715,913,225,2853
"2:00am-2:59am",1807,947,263,3017
"3:00am-3:59am",1394,719,173,2286
"4:00am-4:59am",1123,564,155,1842
"5:00am-5:59am",1234,1051,304,2589
"6:00am-6:59am",1361,1179,346,2886
"7:00am-7:59am",1031,1381,492,2904
"8:00am-8:59am",819,1105,420,2344
"9:00am-9:59am",874,1238,559,2671
"10:00am-10:59am",836,1247,441,2524
"11:00am-11:59am",972,1650,646,3268
"12:00pm-12:59pm",1043,1708,746,3497
"1:00pm-1:59pm",1273,1990,762,4025
"2:00pm-2:59pm",1187,2191,834,4212
"3:00pm-3:59pm",1465,2397,1046,4908
"4:00pm-4:59pm",1543,2380,972,4895
"5:00pm-5:59pm",1831,2397,879,5107
"6:00pm-6:59pm",2149,2315,770,5234
"7:00pm-7:59pm",2429,1841,625,4895
"8:00pm-8:59pm",2589,1774,616,4979
"9:00pm-9:59pm",2294,1803,590,4687
"10:00pm-10:59pm",2207,1368,456,4031
"11:00pm-11:59pm",1864,1220,353,3437
"Total",37177,36380,12917,86474
