date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,1540,808,250,2598
01:00AM,1512,728,144,2384
02:00AM,1731,722,152,2605
03:00AM,1204,529,83,1816
04:00AM,1011,451,135,1597
05:00AM,1083,781,170,2034
06:00AM,1095,1091,288,2474
07:00AM,1116,1122,336,2574
08:00AM,739,1040,412,2191
09:00AM,709,1020,291,2020
10:00AM,800,1294,314,2408
11:00AM,881,1440,410,2731
12:00PM,927,1556,551,3034
01:00PM,1068,1656,665,3389
02:00PM,1075,1889,611,3575
03:00PM,1247,1945,774,3966
04:00PM,1318,2118,824,4260
05:00PM,1666,2043,770,4479
06:00PM,1909,1837,852,4598
07:00PM,1939,1472,558,3969
08:00PM,2074,1610,457,4141
09:00PM,2145,1505,453,4103
10:00PM,1968,1187,315,3470
11:00PM,1773,917,303,2993
